BATSMEN,,R,B,M,4s,6s,SR
Tom Moody,b Tufnell,51,88,131,3,0,57.95
Mark Taylor,lbw b Pringle,0,11,11,0,0,0.00
David Boon,run out (Fairbrother),18,27,29,2,0,66.67
Dean Jones,c Lewis b DeFreitas,22,49,78,2,0,44.90
Steve Waugh,run out (DeFreitas/Stewart),27,43,65,2,0,62.79
Allan Border,b Botham,16,22,30,1,0,72.73
Ian Healy,c Fairbrother b Botham,9,7,6,0,1,128.57
Peter Taylor,lbw b Botham,0,2,2,0,0,0.00
Craig McDermott,c DeFreitas b Botham,0,2,1,0,0,0.00
Mike Whitney,not out,8,27,33,1,0,29.63
Bruce Reid,b Reeve,1,21,21,0,0,4.76
