BATSMEN,,R,B,M,4s,6s,SR
Graham Gooch,lbw b Brandes,0,1,1,0,0,0.00
Sir Ian Botham,c Flower b Omarshah,18,34,45,4,0,52.94
Allan Lamb,c James b Brandes,17,26,29,2,0,65.38
Robin Smith,b Brandes,2,13,15,0,0,15.38
Graeme Hick,b Brandes,0,6,12,0,0,0.00
Neil Fairbrother,c Flower b Butchart,20,77,132,0,0,25.97
Alec Stewart,c Waller b Omarshah,29,96,94,3,0,30.21
Phil DeFreitas,c Flower b Butchart,4,17,14,0,0,23.53
Richard Illingworth,run out,11,20,28,0,0,55.00
Gladstone Small,c Pycroft b Jarvis,5,18,20,0,0,27.78
Phil Tufnell,not out,0,0,3,0,0,0.00
