BATSMEN,,R,B,M,4s,6s,SR
Azhar Saeed,c McMillan b Pollock,11,24,25,2,0,45.83
Ganesh Mylvaganam,c Palframan b Donald,23,36,49,3,0,63.89
Mazhar Hussain,b Donald,14,42,56,0,0,33.33
Vijay Mehra,run out (McMillan),2,12,13,0,0,16.67
Mohammad Aslam,b McMillan,9,5,18,1,0,180.00
Arshad Laeeq,not out,43,79,122,4,0,54.43
Johanne Samarasekera,c Hudson b Donald,4,12,15,0,0,33.33
Sultan Zarawani,c Cronje b McMillan,0,7,7,0,0,0.00
Imtiaz Abbasi,c Palframan b McMillan,1,7,7,0,0,14.29
Shaukat Dukanwala,not out,40,78,81,4,0,51.28
