BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Bhuvneshwar Kumar,10,0,44,2,4.40,33,3,0,2,0
Jasprit Bumrah,10,1,35,2,3.50,41,4,0,0,0
Hardik Pandya,6,0,31,0,5.17,16,2,0,0,0
Kuldeep Yadav,10,0,46,1,4.60,28,2,1,1,0
Yuzvendra Chahal,10,0,51,4,5.10,32,1,2,3,0
Kedar Jadhav,4,0,16,0,4.00,13,1,0,0,0
