BATSMEN,,R,B,M,4s,6s,SR
Aamer Sohail,c Srikkanth b Tendulkar,62,95,118,6,0,65.26
Inzamam-ul-Haq,lbw b Kapil Dev,2,6,9,0,0,33.33
Zahid Fazal,c More b Prabhakar,2,9,14,0,0,22.22
Javed Miandad,b Srinath,40,110,132,2,0,36.36
Saleem Malik,c More b Prabhakar,12,9,12,2,0,133.33
Imran Khan,run out (More/Raju),0,5,12,0,0,0.00
Wasim Akram,st More b Raju,4,8,9,0,0,50.00
Wasim Haider,b Srinath,13,24,41,0,0,54.17
Moin Khan,c Manjrekar b Kapil Dev,12,12,16,1,0,100.00
Mushtaq Ahmed,run out (Azharuddin/Kapil Dev),3,4,5,0,0,75.00
Aaqib Javed,not out,1,12,15,0,0,8.33
