BATSMEN,,R,B,M,4s,6s,SR
Ruvindu Gunasekera,lbw b Umar Gul,8,16,20,0,0,50.00
Nitish Kumar,b Abdul Razzaq,2,13,25,0,0,15.38
Zubin Surkari,lbw b Saeed Ajmal,27,67,117,2,0,40.30
Ashish Bagai,lbw b Shahid Afridi,16,35,52,2,0,45.71
Jimmy Hansra,b Shahid Afridi,43,75,70,4,1,57.33
Rizwan Cheema,b Shahid Afridi,4,8,5,1,0,50.00
Tyson Gordon,c Wahab Riaz b Shahid Afridi,9,12,17,1,0,75.00
Harvir Baidwan,b Shahid Afridi,0,1,1,0,0,0.00
Khurram Chohan,not out,5,20,31,0,0,25.00
Balaji Rao,run out (Shahid Afridi),1,7,14,0,0,14.29
Henry Osinde,b Wahab Riaz,0,3,5,0,0,0.00
