BATSMEN,,R,B,M,4s,6s,SR
Morris Ouma,c Kamran Akmal b Umar Gul,16,37,55,1,0,43.24
Seren Waters,run out (Umar Akmal),17,31,38,2,0,54.84
Collins Obuya,c Ahmed Shehzad b Shahid Afridi,47,58,89,3,3,81.03
Steve Tikolo,b Shahid Afridi,13,33,37,1,0,39.39
Tanmay Mishra,lbw b Shahid Afridi,6,16,11,1,0,37.50
Rakep Patel,c Umar Akmal b Mohammad Hafeez,0,6,4,0,0,0.00
Jimmy Kamande,lbw b Shahid Afridi,2,3,3,0,0,66.67
Thomas Odoyo,lbw b Shahid Afridi,0,8,8,0,0,0.00
Nehemiah Odhiambo,run out (sub [Asad Shafiq]),0,6,8,0,0,0.00
Shem Ngoche,b Umar Gul,0,1,8,0,0,0.00
Elijah Otieno,not out,0,1,3,0,0,0.00
