BATSMEN,,R,B,M,4s,6s,SR
Rohit Sharma,b Johnson,34,48,83,1,2,70.83
Shikhar Dhawan,c Maxwell b Hazlewood,45,41,57,6,1,109.76
Virat Kohli,c Haddin b Johnson,1,13,11,0,0,7.69
Ajinkya Rahane,c Haddin b Starc,44,68,87,2,0,64.71
Suresh Raina,c Haddin b Faulkner,7,11,20,1,0,63.64
MS Dhoni,run out (Maxwell),65,65,94,3,2,100.00
Ravindra Jadeja,run out (Smith),16,17,23,2,0,94.12
Ravichandran Ashwin,b Faulkner,5,13,19,0,0,38.46
Mohammed Shami,not out,1,1,11,0,0,100.00
Mohit Sharma,b Faulkner,0,1,1,0,0,0.00
Umesh Yadav,b Starc,0,5,5,0,0,0.00
