BATSMEN,,R,B,M,4s,6s,SR
Ranjit Fernando,c Murray b Julien,4,6,11,0,0,66.67
Bandula Warnapura,c Murray b Boyce,8,54,62,1,0,14.81
Anura Tennekoon,c Murray b Julien,0,4,2,0,0,0.00
David Heyn,c Lloyd b Roberts,2,12,27,0,0,16.67
Michael Tissera,c Kallicharran b Julien,14,35,38,1,0,40.00
Duleep Mendis,c Murray b Boyce,8,13,20,1,0,61.54
Anura Ranasinghe,b Boyce,0,2,5,0,0,0.00
Mevan Pieris,c Lloyd b Julien,3,12,13,0,0,25.00
Tony Opatha,b Roberts,11,18,26,1,0,61.11
Somachandra De Silva,c Lloyd b Holder,21,54,47,2,0,38.89
Lalith Kaluperuma,not out,6,19,31,0,0,31.58
