BATSMEN,,R,B,M,4s,6s,SR
Morris Ouma,lbw b Kulasekara,1,7,7,0,0,14.29
Seren Waters,lbw b Malinga,3,4,12,0,0,75.00
Collins Obuya,b Malinga,52,100,121,4,0,52.00
David Obuya,c Samaraweera b Muralitharan,51,106,158,3,0,48.11
Steve Tikolo,c Dilshan b Mathews,7,17,20,1,0,41.18
Tanmay Mishra,lbw b Malinga,0,13,28,0,0,0.00
Jimmy Kamande,run out (Silva),1,3,4,0,0,33.33
Nehemiah Odhiambo,not out,8,10,15,2,0,80.00
Peter Ongondo,b Malinga,0,1,3,0,0,0.00
Shem Ngoche,b Malinga,0,1,1,0,0,0.00
Elijah Otieno,b Malinga,0,2,2,0,0,0.00
