BATSMEN,,R,B,M,4s,6s,SR
Jan-Berrie Burger,c sub (RG Nijman) b Kloppenburg,41,42,47,6,0,97.62
Morne Karg,c sub (RG Nijman) b de Leede,41,51,62,4,1,80.39
Danie Keulder,b Kloppenburg,52,67,85,2,0,77.61
Gavin Murgatroyd,c Zuiderent b Mol,52,62,92,4,0,83.87
Deon Kotze,lbw b Adeel Raja,25,29,46,1,0,86.21
Louis Burger,b Kloppenburg,1,3,4,0,0,33.33
Gerrie Snyman,c de Leede b Kloppenburg,0,1,1,0,0,0.00
Sarel Burger,st Smits b Adeel Raja,6,6,10,1,0,100.00
Melt van Schoor,b Adeel Raja,15,13,16,0,1,115.38
Burton van Rooi,not out,9,6,12,1,0,150.00
Rudi van Vuuren,c Mol b Adeel Raja,0,2,2,0,0,0.00
