BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Chaminda Vaas,9.1,2,25,6,2.73,43,2,0,2,0
Prabath Nissanka,5,0,22,0,4.40,20,1,0,2,2
Dilhara Fernando,7,0,47,1,6.71,23,5,1,4,1
Muttiah Muralitharan,10,4,25,3,2.50,50,2,1,0,0
