BATSMEN,,R,B,M,4s,6s,SR
Craig McMillan,c Harbhajan Singh b Khan,0,2,1,0,0,0.00
Stephen Fleming,c Tendulkar b Srinath,30,59,85,4,0,50.85
Nathan Astle,lbw b Khan,0,1,2,0,0,0.00
Scott Styris,c Dravid b Nehra,15,21,37,1,0,71.43
Brendon McCullum,b Khan,4,16,24,0,0,25.00
Chris Cairns,c Khan b Harbhajan Singh,20,26,50,1,0,76.92
Chris Harris,lbw b Khan,17,37,45,2,0,45.95
Jacob Oram,b Sehwag,23,54,62,1,0,42.59
Daniel Vettori,c Ganguly b Harbhajan Singh,13,40,39,2,0,32.50
Daryl Tuffey,c & b Mongia,11,13,18,2,0,84.62
Shane Bond,not out,0,6,7,0,0,0.00
