BATSMEN,,R,B,M,4s,6s,SR
David Warner,c Latham b Ferguson,16,23,39,3,0,69.57
Aaron Finch,lbw b Boult,8,15,19,1,0,53.33
Usman Khawaja,b Boult,88,129,187,5,0,68.22
Steven Smith,c Guptill b Ferguson,5,8,13,0,0,62.50
Marcus Stoinis,c Latham b Neesham,21,26,41,3,0,80.77
Glenn Maxwell,c & b Neesham,1,5,8,0,0,20.00
Alex Carey,c Guptill b Williamson,71,72,113,11,0,98.61
Pat Cummins,not out,23,19,34,1,0,121.05
Mitchell Starc,b Boult,0,1,2,0,0,0.00
Jason Behrendorff,lbw b Boult,0,1,4,0,0,0.00
Nathan Lyon,not out,0,1,1,0,0,0.00
