BATSMEN,,R,B,M,4s,6s,SR
Martin Guptill,lbw b Behrendorff,20,43,60,2,0,46.51
Henry Nicholls,c Carey b Behrendorff,8,20,43,2,0,40.00
Kane Williamson,c Carey b Starc,40,51,69,2,1,78.43
Ross Taylor,c Carey b Cummins,30,54,76,2,0,55.56
Tom Latham,c Smith b Starc,14,28,41,0,0,50.00
Colin de Grandhomme,c Khawaja b Smith,0,1,6,0,0,0.00
James Neesham,c & b Lyon,9,22,24,0,0,40.91
Mitchell Santner,c Behrendorff b Starc,12,29,42,0,1,41.38
Ish Sodhi,lbw b Starc,5,4,11,1,0,125.00
Lockie Ferguson,b Starc,0,3,7,0,0,0.00
Trent Boult,not out,2,7,13,0,0,28.57
