BATSMEN,,R,B,M,4s,6s,SR
Sidath Wettimuny,lbw b Botham,22,49,-,3,0,44.90
Brendon Kuruppu,c Gatting b Willis,6,36,-,1,0,16.67
Arjuna Ranatunga,c Lamb b Botham,0,6,-,0,0,0.00
Roy Dias,c Gould b Cowans,7,24,-,1,0,29.17
Duleep Mendis,b Allott,10,38,-,0,0,26.32
Ranjan Madugalle,c Gould b Allott,0,16,-,0,0,0.00
Somachandra De Silva,c Gower b Marks,15,36,-,1,0,41.67
Guy de Alwis,c Marks b Cowans,19,20,-,2,1,95.00
Ashantha de Mel,c Lamb b Marks,10,23,-,2,0,43.48
Rumesh Ratnayake,not out,20,32,-,1,1,62.50
Vinothen John,c Cowans b Allott,15,27,-,1,0,55.56
