BATSMEN,,R,B,M,4s,6s,SR
Glenn Turner,lbw b Willis,14,28,-,2,0,50.00
Bruce Edgar,c Gould b Willis,3,6,-,0,0,50.00
John Wright,c Botham b Dilley,10,17,-,1,0,58.82
Geoff Howarth,c Lamb b Marks,18,44,-,1,0,40.91
Jeremy Coney,run out,23,52,-,2,0,44.23
Martin Crowe,run out,97,118,-,8,0,82.20
Warren Lees,b Botham,8,23,-,0,0,34.78
Sir Richard Hadlee,c Lamb b Marks,1,9,-,0,0,11.11
Lance Cairns,lbw b Botham,1,2,-,0,0,50.00
Martin Snedden,c Gould b Gatting,21,34,-,1,0,61.76
Ewen Chatfield,not out,9,24,-,1,0,37.50
