BATSMEN,,R,B,M,4s,6s,SR
Brendan Taylor,lbw b Styris,44,57,106,4,0,77.19
Charles Coventry,run out (Bennett),0,2,7,0,0,0.00
Tatenda Taibu,lbw b Southee,8,18,28,1,0,44.44
Craig Ervine,c Ryder b Mills,11,25,25,2,0,44.00
Elton Chigumbura,lbw b Vettori,1,4,9,0,0,25.00
Regis Chakabva,c LRPL Taylor b Vettori,0,2,3,0,0,0.00
Greg Lamb,run out (Guptill/Vettori),18,34,46,1,0,52.94
Prosper Utseya,b Southee,36,65,95,3,0,55.38
Graeme Cremer,c BB McCullum b Mills,22,43,43,1,0,51.16
Ray Price,lbw b Southee,11,19,27,0,0,57.89
Tinashe Panyangara,not out,4,9,13,1,0,44.44
