BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Heath Streak,9,1,50,0,5.56,35,4,1,8,0
Pommie Mbangwa,8,0,37,0,4.63,33,5,0,3,1
Neil Johnson,10,0,42,4,4.20,40,3,1,2,3
Andy Whittall,9,0,51,1,5.67,36,5,2,2,0
Guy Whittall,6,0,20,0,3.33,24,1,0,5,0
Paul Strang,8,0,22,2,2.75,27,0,0,0,0
