BATSMEN,,R,B,M,4s,6s,SR
Glenroy Sealy,c Porter b Dymock,25,30,46,4,0,83.33
Christopher Chappell,lbw b Hurst,19,42,54,2,0,45.24
Franklyn Dennis,lbw b Hurst,1,8,8,0,0,12.50
Tariq Javed,c Wright b Porter,8,30,38,1,0,26.67
Charles Baksh,b Hurst,0,6,7,0,0,0.00
John Vaughan,b Porter,29,43,48,4,0,67.44
Bryan Mauricette,c Hilditch b Cosier,5,22,25,0,0,22.73
Jitendra Patel,b Cosier,2,4,23,0,0,50.00
Robert Callender,c Wright b Hurst,0,2,3,0,0,0.00
Cornelius Henry,c Hughes b Hurst,5,11,8,1,0,45.45
John Valentine,not out,0,6,5,0,0,0.00
