BATSMEN,,R,B,M,4s,6s,SR
Oliver Pitcher,b Khan,0,6,3,0,0,0.00
Steven Outerbridge,b Khan,9,16,35,1,0,56.25
Delyone Borden,lbw b Patel,13,38,65,1,0,34.21
David Hemp,not out,76,105,156,9,1,72.38
Irving Romaine,lbw b Kumble,0,10,12,0,0,0.00
Janeiro Tucker,b Kumble,0,6,6,0,0,0.00
Dean Minors,c sub (KD Karthik) b Agarkar,21,36,39,3,1,58.33
Lionel Cann,c Uthappa b Agarkar,0,2,1,0,0,0.00
Kevin Hurdle,b Agarkar,0,4,5,0,0,0.00
Dwayne Leverock,c Dhoni b Tendulkar,9,31,40,1,0,29.03
Malachi Jones,lbw b Kumble,1,8,4,0,0,12.50
