BATSMEN,,R,B,M,4s,6s,SR
Hashim Amla,c Sharma b Bumrah,6,9,16,1,0,66.67
Quinton de Kock,c Kohli b Bumrah,10,17,28,1,0,58.82
Faf du Plessis,b Chahal,38,54,77,4,0,70.37
Rassie van der Dussen,b Chahal,22,37,59,1,0,59.46
David Miller,c & b Chahal,31,40,69,1,0,77.50
Jean-Paul Duminy,lbw b Kuldeep Yadav,3,11,11,0,0,27.27
Andile Phehlukwayo,st Dhoni b Chahal,34,61,68,2,1,55.74
Chris Morris,c Kohli b Kumar,42,34,58,1,2,123.53
Kagiso Rabada,not out,31,35,45,2,0,88.57
Imran Tahir,c Jadhav b Kumar,0,2,2,0,0,0.00
