BATSMEN,,R,B,M,4s,6s,SR
Chamu Chibhabha,c Dhawan b Mohammed Shami,7,16,20,1,0,43.75
Hamilton Masakadza,c Dhoni b Yadav,2,8,15,0,0,25.00
Solomon Mire,c Dhoni b Sharma,9,22,31,1,0,40.91
Brendan Taylor,c Dhawan b Sharma,138,110,155,15,5,125.45
Sean Williams,c & b Ashwin,50,57,66,3,3,87.72
Craig Ervine,c & b Sharma,27,41,67,1,1,65.85
Sikandar Raza,b Mohammed Shami,28,15,19,1,3,186.67
Regis Chakabva,c Sharma b Yadav,10,13,26,0,0,76.92
Tinashe Panyangara,c Yadav b Mohammed Shami,6,6,7,1,0,100.00
Tawanda Mupariwa,not out,1,2,7,0,0,50.00
Tendai Chatara,b Yadav,0,3,2,0,0,0.00
