BATSMEN,,R,B,M,4s,6s,SR
Tamim Iqbal,c Sangakkara b Malinga,6,7,16,1,0,85.71
Shahriar Nafees,lbw b Vaas,0,3,3,0,0,0.00
Mushfiqur Rahim,c Dilshan b Maharoof,6,33,48,1,0,18.18
Aftab Ahmed,c Jayasuriya b Malinga,12,16,18,2,0,75.00
Shakib Al Hasan,b Muralitharan,4,20,41,0,0,20.00
Habibul Bashar,run out (Jayawardene),18,47,57,2,0,38.30
Mohammad Ashraful,not out,45,63,69,6,0,71.43
Mashrafe Mortaza,c Tharanga b Arnold,7,14,12,0,1,50.00
Mohammad Rafique,c Maharoof b Dilshan,7,17,19,0,0,41.18
Abdur Razzak,c Sangakkara b Malinga,0,2,6,0,0,0.00
Syed Rasel,run out (Dilshan),0,1,5,0,0,0.00
