BATSMEN,,R,B,M,4s,6s,SR
Roy Fredericks,hit wicket b Lillee,7,13,14,0,0,53.85
Sir Gordon Greenidge,c Marsh b Thomson,13,61,80,1,0,21.31
Alvin Kallicharran,c Marsh b Gilmour,12,18,26,2,0,66.67
Rohan Kanhai,b Gilmour,55,105,156,8,0,52.38
Sir Clive Lloyd,c Marsh b Gilmour,102,85,108,12,2,120.00
Sir Viv Richards,b Gilmour,5,11,12,1,0,45.45
Keith Boyce,c GS Chappell b Thomson,34,37,43,3,0,91.89
Bernard Julien,not out,26,37,54,1,0,70.27
Deryck Murray,c & b Gilmour,14,10,11,1,1,140.00
Vanburn Holder,not out,6,2,1,1,0,300.00
