BATSMEN,,R,B,M,4s,6s,SR
Sidath Wettimuny,lbw b Marks,33,66,-,3,1,50.00
Brendon Kuruppu,c Gatting b Dilley,4,3,-,1,0,133.33
Roy Dias,c Botham b Dilley,2,15,-,0,0,13.33
Duleep Mendis,c Willis b Marks,56,64,-,5,1,87.50
Ranjan Madugalle,c Tavare b Marks,12,26,-,1,0,46.15
Arjuna Ranatunga,c Lamb b Marks,34,45,-,4,0,75.56
Somachandra De Silva,st Gould b Marks,28,37,-,2,0,75.68
Guy de Alwis,not out,58,51,-,6,1,113.73
Ashantha de Mel,c Dilley b Allott,27,26,-,2,0,103.85
Rumesh Ratnayake,c Lamb b Dilley,15,18,-,1,0,83.33
Vinothen John,b Dilley,0,1,-,0,0,0.00
