BATSMEN,,R,B,M,4s,6s,SR
Alexei Kervezee,c & b Kallis,10,18,23,1,0,55.56
Wesley Barresi,st van Wyk b Duminy,44,66,98,5,0,66.67
Tom Cooper,c Steyn b Kallis,9,21,26,1,0,42.86
Bas Zuiderent,lbw b Peterson,15,26,38,1,1,57.69
Ryan ten Doeschate,lbw b Steyn,11,21,23,0,0,52.38
Tom de Grooth,run out (Smith),12,26,35,0,0,46.15
Peter Borren,lbw b Peterson,3,13,14,0,0,23.08
Mudassar Bukhari,b Imran Tahir,0,4,5,0,0,0.00
Pieter Seelaar,not out,2,5,15,0,0,40.00
Bernard Loots,lbw b Imran Tahir,6,7,8,0,1,85.71
Berend Westdijk,lbw b Imran Tahir,0,2,2,0,0,0.00
