BATSMEN,,R,B,M,4s,6s,SR
William Porterfield,c Smith b Morkel,6,8,8,1,0,75.00
Paul Stirling,c Kallis b Morkel,10,11,15,2,0,90.91
Ed Joyce,lbw b Botha,12,24,46,2,0,50.00
Niall O'Brien,c van Wyk b Kallis,10,16,23,0,1,62.50
Gary Wilson,lbw b Peterson,31,48,60,4,1,64.58
Kevin O'Brien,c Amla b Peterson,19,24,39,2,0,79.17
Alex Cusack,c Smith b Peterson,7,11,23,1,0,63.64
John Mooney,c van Wyk b Kallis,14,28,49,1,0,50.00
Trent Johnston,c van Wyk b Duminy,12,16,14,0,1,75.00
George Dockrell,c van Wyk b Morkel,16,12,19,3,0,133.33
Boyd Rankin,not out,0,2,3,0,0,0.00
