BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Mujeeb Ur Rahman,4.5,0,45,1,9.31,9,5,1,0,0
Hamid Hassan,6,2,15,0,2.50,28,2,0,1,0
Dawlat Zadran,5,0,32,0,6.40,17,3,1,1,1
Gulbadin Naib,5,0,32,1,6.40,16,2,1,2,1
Mohammad Nabi,6,0,32,0,5.33,18,1,0,2,0
Rashid Khan,8,0,52,1,6.50,17,4,1,0,0
