BATSMEN,,R,B,M,4s,6s,SR
Marcus Trescothick,c Tendulkar b Khan,8,23,31,1,0,34.78
Nick Knight,run out (Kaif),1,3,6,0,0,33.33
Michael Vaughan,c Dravid b Nehra,20,47,89,2,0,42.55
Nasser Hussain,c Dravid b Nehra,15,30,48,2,0,50.00
Alec Stewart,lbw b Nehra,0,1,2,0,0,0.00
Paul Collingwood,c Sehwag b Nehra,18,38,42,2,0,47.37
Andrew Flintoff,c Sehwag b Srinath,64,73,99,5,3,87.67
Craig White,c Dravid b Nehra,13,9,19,1,0,144.44
Ronnie Irani,c Sehwag b Nehra,0,2,2,0,0,0.00
Andy Caddick,not out,13,41,61,1,0,31.71
James Anderson,lbw b Khan,2,8,14,0,0,25.00
