BATSMEN,,R,B,M,4s,6s,SR
Virender Sehwag,c & b Flintoff,23,29,47,4,0,79.31
Sachin Tendulkar,c Collingwood b Flintoff,50,52,78,8,1,96.15
Sourav Ganguly,c Trescothick b White,19,38,60,2,0,50.00
Dinesh Mongia,lbw b Collingwood,32,66,83,3,0,48.48
Rahul Dravid,c Collingwood b Caddick,62,72,110,3,1,86.11
Yuvraj Singh,c Hussain b Anderson,42,38,38,4,1,110.53
Mohammad Kaif,c Flintoff b Caddick,5,6,15,0,0,83.33
Harbhajan Singh,not out,0,1,5,0,0,0.00
Zaheer Khan,run out (Stewart),0,0,1,0,0,0.00
Javagal Srinath,c Trescothick b Caddick,0,1,1,0,0,0.00
