BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Ashish Patel,3,0,32,0,10.67,7,4,1,3,0
John Davison,10,0,61,3,6.10,27,6,0,1,0
Austin Codrington,2,0,33,0,16.50,2,4,2,1,0
Barry Seebaran,7,0,61,1,8.71,13,4,3,0,0
Nicholas Ifill,1,0,7,0,7.00,2,1,0,0,0
