BATSMEN,,R,B,M,4s,6s,SR
Morris Ouma,c Collingwood b Anderson,13,45,46,1,0,28.89
Ravi Shah,b Anderson,4,11,21,0,0,36.36
Tony Suji,c Vaughan b Mahmood,14,29,61,2,0,48.28
Steve Tikolo,b Flintoff,76,97,131,8,0,78.35
Tanmay Mishra,b Collingwood,0,3,2,0,0,0.00
Collins Obuya,run out (Bopara/Panesar),10,13,20,2,0,76.92
Thomas Odoyo,lbw b Flintoff,4,11,14,0,0,36.36
Jimmy Kamande,b Collingwood,17,28,31,2,0,60.71
Lameck Onyango,run out (Nixon),10,18,27,0,0,55.56
Peter Ongondo,run out (Vaughan),3,3,2,0,0,100.00
Hiren Varaiya,not out,4,7,5,0,0,57.14
