BATSMEN,,R,B,M,4s,6s,SR
Sir Gordon Greenidge,run out (Randall),9,31,31,0,0,29.03
Desmond Haynes,c Hendrick b Old,20,27,49,3,0,74.07
Sir Viv Richards,not out,138,157,207,11,3,87.90
Alvin Kallicharran,b Hendrick,4,17,19,0,0,23.53
Sir Clive Lloyd,c & b Old,13,33,42,2,0,39.39
Collis King,c Randall b Edmonds,86,66,77,10,3,130.30
Deryck Murray,c Gower b Edmonds,5,9,12,1,0,55.56
Sir Andy Roberts,c Brearley b Hendrick,0,7,8,0,0,0.00
Joel Garner,c Taylor b Botham,0,5,4,0,0,0.00
Michael Holding,b Botham,0,6,7,0,0,0.00
Colin Croft,not out,0,2,6,0,0,0.00
