BATSMEN,,R,B,M,4s,6s,SR
Mike Brearley,c King b Holding,64,130,130,7,0,49.23
Sir Geoff Boycott,c Kallicharran b Holding,57,105,137,3,0,54.29
Derek Randall,b Croft,15,22,36,0,0,68.18
Graham Gooch,b Garner,32,28,31,4,0,114.29
David Gower,b Garner,0,4,6,0,0,0.00
Sir Ian Botham,c Richards b Croft,4,3,7,0,0,133.33
Wayne Larkins,b Garner,0,1,1,0,0,0.00
Phil Edmonds,not out,5,8,14,0,0,62.50
Chris Old,b Garner,0,2,4,0,0,0.00
Bob Taylor,c Murray b Garner,0,1,1,0,0,0.00
Mike Hendrick,b Croft,0,5,4,0,0,0.00
