BATSMEN,,R,B,M,4s,6s,SR
Ian Bell,c Prince b Langeveldt,7,23,30,1,0,30.43
Michael Vaughan,lbw b Nel,17,38,53,3,0,44.74
Sir Andrew Strauss,c Smith b Kallis,46,67,113,2,1,68.66
Kevin Pietersen,c Smith b Nel,3,15,20,0,0,20.00
Paul Collingwood,lbw b Hall,30,57,75,3,0,52.63
Andrew Flintoff,b Hall,5,10,14,0,0,50.00
Ravi Bopara,not out,27,44,66,4,0,61.36
Paul Nixon,c Boucher b Hall,1,2,3,0,0,50.00
Sajid Mahmood,b Hall,0,1,5,0,0,0.00
Monty Panesar,c Boucher b Nel,2,28,30,0,0,7.14
James Anderson,lbw b Hall,0,6,15,0,0,0.00
