BATSMEN,,R,B,M,4s,6s,SR
Aamer Sohail,b Snell,23,47,61,2,0,48.94
Zahid Fazal,c Richardson b McMillan,11,41,63,1,0,26.83
Inzamam-ul-Haq,run out (Rhodes),48,44,70,5,0,109.09
Imran Khan,c Richardson b McMillan,34,52,70,5,0,65.38
Saleem Malik,c Donald b Kuiper,12,11,15,0,0,109.09
Wasim Akram,c Snell b Kuiper,9,7,15,1,0,128.57
Ijaz Ahmed,c Rhodes b Kuiper,6,3,4,1,0,200.00
Moin Khan,not out,5,5,11,0,0,100.00
Mushtaq Ahmed,run out (McMillan/Richardson),4,4,5,0,0,100.00
Iqbal Sikander,not out,1,3,2,0,0,33.33
