BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Thomas Odoyo,8,1,32,1,4.00,34,4,0,0,2
Peter Ongondo,10,0,51,1,5.10,39,6,1,2,3
Nehemiah Odhiambo,3,0,33,0,11.00,9,7,0,1,1
Hiren Varaiya,10,3,19,1,1.90,49,2,0,0,0
Jimmy Kamande,10,1,25,2,2.50,40,1,0,0,0
Steve Tikolo,9,0,34,2,3.78,31,1,1,0,0
