BATSMEN,,R,B,M,4s,6s,SR
Tamim Iqbal,c Yuvraj Singh b Patel,70,86,136,3,1,81.40
Imrul Kayes,b Patel,34,29,33,7,0,117.24
Junaid Siddique,st Dhoni b Harbhajan Singh,37,52,66,1,1,71.15
Shakib Al Hasan,c Harbhajan Singh b Pathan,55,50,65,5,0,110.00
Mushfiqur Rahim,c sub (SK Raina) b Khan,25,30,39,2,0,83.33
Raqibul Hasan,not out,28,28,44,0,1,100.00
Mahmudullah,b Patel,6,6,6,0,0,100.00
Naeem Islam,lbw b Patel,2,8,8,0,0,25.00
Abdur Razzak,lbw b Khan,1,5,6,0,0,20.00
Shafiul Islam,run out (Harbhajan Singh),0,1,1,0,0,0.00
Rubel Hossain,not out,1,6,4,0,0,16.67
