BATSMEN,,R,B,M,4s,6s,SR
Sarfaraz Ahmed,run out (Miller/de Kock),49,49,62,5,3,100.00
Ahmed Shehzad,c Steyn b Abbott,18,30,34,4,0,60.00
Younis Khan,c Rossouw b de Villiers,37,44,68,4,0,84.09
Misbah-ul-Haq,c Morkel b Steyn,56,86,119,4,0,65.12
Sohaib Maqsood,c Rossouw b Abbott,8,16,20,1,0,50.00
Umar Akmal,c de Villiers b Morkel,13,20,22,2,0,65.00
Shahid Afridi,c Duminy b Steyn,22,15,21,1,2,146.67
Wahab Riaz,lbw b Imran Tahir,0,1,5,0,0,0.00
Sohail Khan,c Duminy b Morkel,3,11,21,0,0,27.27
Rahat Ali,c Imran Tahir b Steyn,1,6,8,0,0,16.67
Mohammad Irfan,not out,1,3,5,0,0,33.33
