BATSMEN,,R,B,M,4s,6s,SR
Quinton de Kock,c Sarfaraz Ahmed b Mohammad Irfan,0,2,1,0,0,0.00
Hashim Amla,c Sarfaraz Ahmed b Wahab Riaz,38,27,51,9,0,140.74
Faf du Plessis,c Sarfaraz Ahmed b Rahat Ali,27,29,44,3,1,93.10
Rilee Rossouw,c Sohail Khan b Wahab Riaz,6,9,16,1,0,66.67
AB de Villiers,c Sarfaraz Ahmed b Sohail Khan,77,58,111,7,5,132.76
David Miller,lbw b Rahat Ali,0,13,17,0,0,0.00
Jean-Paul Duminy,c Wahab Riaz b Mohammad Irfan,12,13,19,2,0,92.31
Dale Steyn,c Sarfaraz Ahmed b Mohammad Irfan,16,17,21,3,0,94.12
Kyle Abbott,c Younis Khan b Rahat Ali,12,19,26,2,0,63.16
Morne Morkel,not out,6,8,26,1,0,75.00
Imran Tahir,c Sarfaraz Ahmed b Wahab Riaz,0,6,7,0,0,0.00
