BATSMEN,,R,B,M,4s,6s,SR
Kyle Coetzer,b Dawlat Zadran,25,41,52,5,0,60.98
Calum MacLeod,c Najibullah Zadran b Dawlat Zadran,0,5,10,0,0,0.00
Hamish Gardiner,lbw b Hamid Hassan,5,20,40,0,0,25.00
Matt Machan,b Mohammad Nabi,31,28,46,4,0,110.71
Preston Mommsen,c Afsar Zazai b Gulbadin Naib,23,36,48,4,0,63.89
Richie Berrington,c Afsar Zazai b Dawlat Zadran,25,46,66,2,0,54.35
Matthew Cross,c Afsar Zazai b Shapoor Zadran,15,26,30,1,0,57.69
Josh Davey,c Hamid Hassan b Shapoor Zadran,1,9,12,0,0,11.11
Majid Haq,c Gulbadin Naib b Shapoor Zadran,31,51,74,3,0,60.78
Alasdair Evans,c Mohammad Nabi b Shapoor Zadran,28,37,59,3,0,75.68
Iain Wardlaw,not out,1,2,4,0,0,50.00
