BATSMEN,,R,B,M,4s,6s,SR
Javed Ahmadi,c Machan b Berrington,51,51,80,8,0,100.00
Nawroz Mangal,b Evans,7,13,31,0,0,53.85
Asghar Afghan,c Cross b Evans,4,3,3,1,0,133.33
Samiullah Shinwari,c Davey b Haq,96,147,176,7,5,65.31
Mohammad Nabi,lbw b Davey,1,3,10,0,0,33.33
Afsar Zazai,lbw b Berrington,0,1,4,0,0,0.00
Najibullah Zadran,c Haq b Berrington,4,5,9,1,0,80.00
Gulbadin Naib,c Haq b Davey,0,1,4,0,0,0.00
Dawlat Zadran,c Mommsen b Berrington,9,25,50,1,0,36.00
Hamid Hassan,not out,15,39,75,1,0,38.46
Shapoor Zadran,not out,12,10,21,2,0,120.00
