BATSMEN,,R,B,M,4s,6s,SR
Brendan Taylor,b Tait,16,24,53,1,0,66.67
Charles Coventry,c & b Lee,14,24,24,1,1,58.33
Tatenda Taibu,c Watson b Johnson,7,17,23,1,0,41.18
Craig Ervine,lbw b Johnson,0,6,13,0,0,0.00
Elton Chigumbura,c Haddin b Krejza,14,25,44,2,0,56.00
Sean Williams,c Watson b Tait,28,40,40,1,1,70.00
Regis Chakabva,lbw b Krejza,6,18,21,0,0,33.33
Prosper Utseya,c Ponting b Hussey,24,45,52,1,0,53.33
Graeme Cremer,c Haddin b Johnson,37,51,51,4,0,72.55
Ray Price,not out,5,19,25,0,0,26.32
Chris Mpofu,c Haddin b Johnson,2,11,12,0,0,18.18
