BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Sir Richard Hadlee,12,3,24,1,2.00,-,-,-,0,0
Gary Troup,10,0,30,1,3.00,-,-,-,0,0
Lance Cairns,12,1,45,1,3.75,-,-,-,0,0
Brian McKechnie,10.5,2,25,3,2.31,-,-,-,0,0
Warren Stott,12,1,48,3,4.00,-,-,-,0,0
