BATSMEN,,R,B,M,4s,6s,SR
William Porterfield,c Yadav b Sharma,67,93,106,5,1,72.04
Paul Stirling,c Rahane b Ashwin,42,41,60,4,2,102.44
Ed Joyce,b Raina,2,9,7,0,0,22.22
Niall O'Brien,c Yadav b Mohammed Shami,75,75,88,7,3,100.00
Andy Balbirnie,c Mohammed Shami b Ashwin,24,24,28,3,0,100.00
Kevin O'Brien,c Dhoni b Mohammed Shami,1,2,6,0,0,50.00
Gary Wilson,c Rahane b Jadeja,6,7,9,1,0,85.71
Stuart Thompson,run out (Kohli),2,2,10,0,0,100.00
John Mooney,not out,12,16,36,1,0,75.00
George Dockrell,c Dhoni b Yadav,6,12,14,0,1,50.00
Alex Cusack,c Yadav b Mohammed Shami,11,13,18,1,0,84.62
