BATSMEN,,R,B,M,4s,6s,SR
Ravi Shastri,c Waugh b Moody,25,67,75,1,0,37.31
Kris Srikkanth,b McDermott,0,10,13,0,0,0.00
Mohammad Azharuddin,run out (Border),93,102,147,10,0,91.18
Sachin Tendulkar,c Waugh b Moody,11,19,19,1,0,57.89
Kapil Dev,lbw b Waugh,21,21,26,3,0,100.00
Sanjay Manjrekar,run out (McDermott/Boon),47,42,50,3,1,111.90
Ajay Jadeja,b Hughes,1,4,5,0,0,25.00
Kiran More,b Moody,14,8,13,2,0,175.00
Javagal Srinath,not out,8,8,11,0,0,100.00
Manoj Prabhakar,run out (Border/Moody),1,1,1,0,0,100.00
Venkatapathy Raju,run out (Waugh/Boon),0,0,1,0,0,0.00
