BATSMEN,,R,B,M,4s,6s,SR
Roshan Mahanama,run out,8,13,-,1,0,61.54
Brendon Kuruppu,c Saleem Yousuf b Imran Khan,0,1,-,0,0,0.00
Ravi Ratnayeke,run out,22,60,-,2,0,36.67
Ranjan Madugalle,c Saleem Yousuf b Manzoor Elahi,15,38,-,2,0,39.47
Arjuna Ranatunga,c & b Abdul Qadir,50,66,-,4,0,75.76
Duleep Mendis,b Abdul Qadir,58,65,-,6,0,89.23
Aravinda de Silva,not out,13,35,-,0,0,37.14
Ashantha de Mel,b Abdul Qadir,0,3,-,0,0,0.00
Sridharan Jeganathan,c Saleem Yousuf b Javed Miandad,1,11,-,0,0,9.09
Vinothen John,not out,1,12,-,0,0,8.33
