BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Andy Caddick,9,2,35,4,3.89,46,4,1,1,3
James Anderson,9,0,66,0,7.33,24,9,1,1,0
Andrew Flintoff,9.4,1,26,0,2.69,42,2,0,1,0
Craig White,10,2,21,1,2.10,44,1,0,0,0
Ashley Giles,10,0,42,2,4.20,31,2,1,1,0
Michael Vaughan,2,0,10,0,5.00,5,1,0,0,0
