BATSMEN,,R,B,M,4s,6s,SR
Bas Zuiderent,run out (Clarke/Gilchrist),9,29,53,1,0,31.03
Darron Reekers,c Clarke b Bracken,25,19,28,5,0,131.58
Alexei Kervezee,lbw b Bracken,0,2,2,0,0,0.00
Ryan ten Doeschate,lbw b Tait,1,6,4,0,0,16.67
Luuk van Troost,lbw b McGrath,0,4,6,0,0,0.00
Daan van Bunge,lbw b McGrath,33,33,49,4,1,100.00
Tim de Leede,c Hayden b Hogg,14,22,35,2,0,63.64
Peter Borren,c Hussey b Hogg,24,18,30,4,1,133.33
Jeroen Smits,lbw b Hogg,3,12,8,0,0,25.00
Adeel Raja,not out,8,14,16,1,0,57.14
Mark Jonkman,st Gilchrist b Hogg,0,2,2,0,0,0.00
