BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Mujeeb Ur Rahman,10,0,44,0,4.40,36,2,1,2,0
Dawlat Zadran,10,0,85,3,8.50,25,8,3,4,0
Mohammad Nabi,9,0,70,0,7.78,19,4,4,0,0
Gulbadin Naib,10,0,68,3,6.80,29,3,5,0,1
Rahmat Shah,2,0,19,0,9.50,3,1,1,0,0
Rashid Khan,9,0,110,0,12.22,18,3,11,0,0
