BATSMEN,,R,B,M,4s,6s,SR
Desmond Haynes,c Jones b McDermott,14,24,27,2,0,58.33
Brian Lara,run out,70,97,180,3,0,72.16
Phil Simmons,lbw b McDermott,0,1,1,0,0,0.00
Sir Richie Richardson,c Healy b Whitney,10,44,50,0,0,22.73
Keith Arthurton,c McDermott b Whitney,15,21,16,1,0,71.43
Gus Logie,c Healy b Whitney,5,15,14,0,0,33.33
Carl Hooper,c ME Waugh b Whitney,4,11,16,0,0,36.36
David Williams,c Border b Reid,4,15,17,0,0,26.67
Winston Benjamin,lbw b SR Waugh,15,15,34,2,0,100.00
Sir Curtly Ambrose,run out,2,7,12,0,0,28.57
Anderson Cummins,not out,5,10,8,0,0,50.00
