BATSMEN,,R,B,M,4s,6s,SR
Brendon Kuruppu,c Saleem Yousuf b Imran Khan,9,24,-,1,0,37.50
Roshan Mahanama,c Javed Miandad b Mansoor Akhtar,89,117,-,7,1,76.07
Roy Dias,b Abdul Qadir,5,21,-,0,0,23.81
Arjuna Ranatunga,b Tauseef Ahmed,24,29,-,3,0,82.76
Duleep Mendis,run out,1,6,-,0,0,16.67
Asanka Gurusinha,b Abdul Qadir,37,39,-,2,1,94.87
Aravinda de Silva,b Imran Khan,42,32,-,3,1,131.25
Ravi Ratnayeke,c Saleem Yousuf b Wasim Akram,7,13,-,0,0,53.85
Rumesh Ratnayake,c Mudassar Nazar b Wasim Akram,8,9,-,0,0,88.89
Vinothen John,not out,1,4,-,0,0,25.00
Don Anurasiri,run out,0,3,-,0,0,0.00
