BATSMEN,,R,B,M,4s,6s,SR
David Warner,c Hetmyer b Cottrell,3,8,24,0,0,37.50
Aaron Finch,c Hope b Thomas,6,10,13,0,0,60.00
Usman Khawaja,c Hope b Russell,13,19,26,2,0,68.42
Steven Smith,c Cottrell b Thomas,73,103,178,7,0,70.87
Glenn Maxwell,c Hope b Cottrell,0,2,5,0,0,0.00
Marcus Stoinis,c Pooran b Holder,19,23,41,4,0,82.61
Alex Carey,c Hope b Russell,45,55,62,7,0,81.82
Nathan Coulter-Nile,c Holder b Brathwaite,92,60,79,8,4,153.33
Pat Cummins,c Cottrell b Brathwaite,2,6,12,0,0,33.33
Mitchell Starc,c Holder b Brathwaite,8,9,13,1,0,88.89
Adam Zampa,not out,0,0,2,0,0,0.00
