time_period,term,tfidf
2019-8-Q1,el_paso,0.23540079426948268
2019-8-Q1,shootings,0.21528808102659422
2019-8-Q1,toni,0.21294707330647422
2019-8-Q1,trump,0.17796880507182455
2019-8-Q1,dayton,0.1558226362133034
2019-8-Q1,morrison,0.14748181183263748
2019-8-Q1,new,0.13034335019344898
2019-8-Q1,woodstock,0.1283245239403675
2019-8-Q1,trade,0.10574507659352862
2019-8-Q1,gun,0.09664181576051832
2019-8-Q1,hong_kong,0.09072123869878525
2019-8-Q1,briefing,0.09023770398008006
2019-8-Q1,china,0.0877311010917445
2019-8-Q1,debates,0.08606678428747687
2019-8-Q1,war,0.07770468953840227
2019-8-Q1,says,0.07770468953840227
2019-8-Q1,terrorism,0.07606093558206006
2019-8-Q1,review,0.07519808665006672
2019-8-Q1,white,0.07397958235740543
2019-8-Q1,morrisons,0.07332829939449571
2019-8-Q2,trump,0.22224128658039086
2019-8-Q2,new,0.16791563874962864
2019-8-Q2,jeffrey_epstein,0.165830504912718
2019-8-Q2,el_paso,0.16162871396518655
2019-8-Q2,review,0.13581411957690553
2019-8-Q2,woodstock,0.11738745195088834
2019-8-Q2,briefing,0.11605933854753744
2019-8-Q2,hong_kong,0.10333737243612641
2019-8-Q2,war,0.09136586226082735
2019-8-Q2,kashmir,0.08730972858926873
2019-8-Q2,summer,0.08703290918240626
2019-8-Q2,airport,0.0838960612669145
2019-8-Q2,epstein,0.082915252456359
2019-8-Q2,weekend,0.0814884717461433
2019-8-Q2,august,0.08108141947863917
2019-8-Q2,dies,0.07408042886013029
2019-8-Q2,says,0.06667238597411726
2019-8-Q2,police,0.06420303834544624
2019-8-Q2,american,0.06420303834544624
2019-8-Q2,2019,0.06353449818345824
2019-8-Q3,trump,0.22963602888450954
2019-8-Q3,greenland,0.15218594221497134
2019-8-Q3,hong_kong,0.1494307291352939
2019-8-Q3,garner,0.14889621424981644
2019-8-Q3,annual,0.12472580424529876
2019-8-Q3,briefing,0.11324516492934718
2019-8-Q3,new,0.10695376687771678
2019-8-Q3,trumps,0.08807957272282557
2019-8-Q3,contest,0.08604773136139192
2019-8-Q3,dies,0.08178817467119517
2019-8-Q3,american,0.07864247564537998
2019-8-Q3,summer,0.07802041788289363
2019-8-Q3,review,0.07549677661956478
2019-8-Q3,pantaleo,0.07444810712490822
2019-8-Q3,eric,0.07368518671296687
2019-8-Q3,man,0.07235107759374958
2019-8-Q3,recession,0.06946463170070746
2019-8-Q3,august,0.0631213760524078
2019-8-Q3,says,0.06291398051630398
2019-8-Q3,orwell,0.062040089270756854
2019-8-Q4,trump,0.23822907427515433
2019-8-Q4,g7,0.19187509189385193
2019-8-Q4,dorian,0.1662942022424049
2019-8-Q4,hurricane,0.14995626540424128
2019-8-Q4,new,0.12136198123451258
2019-8-Q4,war,0.10113498436209382
2019-8-Q4,briefing,0.09664009616822299
2019-8-Q4,amazon,0.09643866712857178
2019-8-Q4,koch,0.09499225528250518
2019-8-Q4,summer,0.09388071304101192
2019-8-Q4,open,0.09214520797435215
2019-8-Q4,hong_kong,0.09150922050524626
2019-8-Q4,dies,0.08765031978048131
2019-8-Q4,china,0.08540287568354589
2019-8-Q4,trade,0.08427737415750634
2019-8-Q4,2019,0.0821724871225335
2019-8-Q4,day,0.0741656551988688
2019-8-Q4,coco,0.07133808271820873
2019-8-Q4,jeffrey_epstein,0.07074770699884907
2019-8-Q4,greenland,0.07035420036107905
2019-9-Q1,dorian,0.3511338614362747
2019-9-Q1,bahamas,0.22665764502552432
2019-9-Q1,hurricane,0.20266538962256556
2019-9-Q1,trump,0.14505197526759686
2019-9-Q1,new,0.12812924481971055
2019-9-Q1,brexit,0.11079134507571606
2019-9-Q1,dorians,0.09724363227193794
2019-9-Q1,review,0.09186625100281134
2019-9-Q1,hong_kong,0.09023183595003972
2019-9-Q1,open,0.08944871808168472
2019-9-Q1,dies,0.08944871808168472
2019-9-Q1,briefing,0.0846136522394315
2019-9-Q1,2019,0.07529636363222038
2019-9-Q1,serena,0.07338424534598552
2019-9-Q1,life,0.07252598763379843
2019-9-Q1,september,0.07180712172374877
2019-9-Q1,bianca,0.0707226416523185
2019-9-Q1,day,0.06285585594929197
2019-9-Q1,new_york,0.060438323028165354
2019-9-Q1,vaping,0.05995056563481095
2019-9-Q2,trump,0.24988896385676443
2019-9-Q2,new,0.18628086396595167
2019-9-Q2,debate,0.14622039464142964
2019-9-Q2,spring,0.12504675156471798
2019-9-Q2,fpo,0.10869930252453557
2019-9-Q2,briefing,0.1044990212491924
2019-9-Q2,democratic,0.09817627632820845
2019-9-Q2,executive,0.09786014035319364
2019-9-Q2,11,0.09541214983621915
2019-9-Q2,says,0.09314043198297584
2019-9-Q2,2020,0.09086871412973252
2019-9-Q2,dorian,0.08715792309832417
2019-9-Q2,bolton,0.08534218049176343
2019-9-Q2,power,0.08322934674725563
2019-9-Q2,dies,0.07951012486351595
2019-9-Q2,brexit,0.07808166986906664
2019-9-Q2,bahamas,0.07645674327958053
2019-9-Q2,day,0.07496668915702934
2019-9-Q2,review,0.07269497130378602
2019-9-Q2,cigarettes,0.06365356332765644
2019-9-Q3,trump,0.2588103871939203
2019-9-Q3,new,0.15317349446170792
2019-9-Q3,says,0.11355965968712828
2019-9-Q3,spring,0.10608053221758346
2019-9-Q3,trudeau,0.10310207287357948
2019-9-Q3,iran,0.09977845973480981
2019-9-Q3,review,0.09771412577729643
2019-9-Q3,briefing,0.09507320345899112
2019-9-Q3,2020,0.09507320345899112
2019-9-Q3,climate,0.09406829342720886
