BATSMEN,,R,B,M,4s,6s,SR
Graham Gooch,c Wasim Akram b Imran Khan,16,27,-,2,0,59.26
Tim Robinson,b Abdul Qadir,16,26,-,1,0,61.54
Bill Athey,b Tauseef Ahmed,86,104,-,6,2,82.69
Mike Gatting,c Saleem Yousuf b Abdul Qadir,60,65,-,3,1,92.31
Allan Lamb,b Imran Khan,9,15,-,0,0,60.00
John Emburey,lbw b Abdul Qadir,3,11,-,0,0,27.27
Paul Downton,c Saleem Yousuf b Imran Khan,6,13,-,0,0,46.15
Phil DeFreitas,c Saleem Yousuf b Imran Khan,13,15,-,1,0,86.67
Neil Foster,not out,20,20,-,2,0,100.00
Gladstone Small,run out,0,1,-,0,0,0.00
Eddie Hemmings,not out,4,3,-,0,0,133.33
