BATSMEN,,R,B,M,4s,6s,SR
Lahiru Thirimanne,b Boult,65,60,90,8,0,108.33
Tillakaratne Dilshan,c & b Vettori,24,41,50,2,0,58.54
Kumar Sangakkara,lbw b Boult,39,38,48,5,0,102.63
Mahela Jayawardene,c Ronchi b Vettori,0,4,3,0,0,0.00
Dimuth Karunaratne,b Milne,14,21,32,0,0,66.67
Angelo Mathews,c Vettori b Southee,46,52,80,5,0,88.46
Jeevan Mendis,c Ronchi b Milne,4,4,5,1,0,100.00
Nuwan Kulasekara,c Elliott b Anderson,10,21,32,1,0,47.62
Rangana Herath,c Milne b Anderson,13,19,41,2,0,68.42
Lasith Malinga,c Ronchi b Southee,0,1,4,0,0,0.00
Suranga Lakmal,not out,7,17,21,0,0,41.18
