BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Tinashe Panyangara,10,1,49,0,4.90,35,4,1,2,0
Tendai Chatara,10,2,35,3,3.50,40,2,0,6,0
Tawanda Mupariwa,8,1,36,1,4.50,30,3,0,3,0
Sean Williams,10,1,48,2,4.80,30,4,0,1,0
Hamilton Masakadza,3,0,14,0,4.67,10,2,0,0,0
Elton Chigumbura,1,0,7,0,7.00,3,0,0,4,0
Sikandar Raza,7,0,34,1,4.86,17,0,0,0,0
Solomon Mire,1,0,9,0,9.00,1,1,0,1,0
