BATSMEN,,R,B,M,4s,6s,SR
Roshan Mahanama,c & b Harris,80,131,175,6,0,61.07
Athula Samarasekera,c Wright b Watson,9,20,25,1,0,45.00
Asanka Gurusinha,c Smith b Harris,9,33,41,0,0,27.27
Aravinda de Silva,run out,31,45,61,2,0,68.89
Arjuna Ranatunga,c Rutherford b Harris,20,26,40,2,0,76.92
Sanath Jayasuriya,run out,5,7,10,0,0,71.43
Hashan Tillakaratne,c Crowe b Watson,8,19,21,0,0,42.11
Ruwan Kalpage,c Larsen b Watson,11,17,20,0,0,64.71
Champaka Ramanayake,run out,2,1,2,0,0,200.00
Don Anurasiri,not out,3,2,7,0,0,150.00
Pramodya Wickramasinghe,not out,3,4,2,0,0,75.00
