BATSMEN,,R,B,M,4s,6s,SR
Chris Gayle,b Oram,44,56,96,8,0,78.57
Shivnarine Chanderpaul,c Styris b Bond,4,28,31,0,0,14.29
Ramnaresh Sarwan,c McCullum b Oram,19,27,35,2,0,70.37
Marlon Samuels,c McCullum b Oram,9,18,16,1,0,50.00
Brian Lara,c McCullum b Styris,37,49,65,1,0,75.51
Dwayne Bravo,c McCullum b Bond,18,30,40,0,0,60.00
Denesh Ramdin,c Oram b Vettori,15,22,32,2,0,68.18
Lendl Simmons,not out,14,26,34,2,0,53.85
Dwayne Smith,b Vettori,8,6,8,0,1,133.33
Daren Powell,lbw b Vettori,0,1,2,0,0,0.00
Corey Collymore,b Bond,0,5,3,0,0,0.00
