BATSMEN,,R,B,M,4s,6s,SR
Sir Gordon Greenidge,b Sandhu,24,55,-,-,-,43.64
Desmond Haynes,run out,24,29,-,-,-,82.76
Sir Viv Richards,c Kirmani b Binny,17,36,-,-,-,47.22
Faoud Bacchus,b Madan Lal,14,24,-,-,-,58.33
Sir Clive Lloyd,b Binny,25,38,-,-,-,65.79
Jeff Dujon,c Sandhu b Binny,7,12,-,-,-,58.33
Larry Gomes,run out,8,16,-,-,-,50.00
Malcolm Marshall,st Kirmani b Shastri,2,5,-,0,0,40.00
Sir Andy Roberts,not out,37,58,-,-,-,63.79
Michael Holding,b Shastri,8,11,-,-,-,72.73
Joel Garner,st Kirmani b Shastri,37,29,-,0,1,127.59
