BATSMEN,,R,B,M,4s,6s,SR
Sir Gordon Greenidge,c Vengsarkar b Kapil Dev,9,13,-,-,-,69.23
Desmond Haynes,c Kapil Dev b Amarnath,38,93,-,-,-,40.86
Sir Viv Richards,c Kirmani b Sandhu,119,146,-,6,1,81.51
Sir Clive Lloyd,run out,41,42,-,-,-,97.62
Faoud Bacchus,b Binny,8,8,-,-,-,100.00
Jeff Dujon,c Shastri b Binny,9,13,-,-,-,69.23
Larry Gomes,not out,27,22,-,-,-,122.73
Sir Andy Roberts,c Patil b Binny,7,9,-,-,-,77.78
Malcolm Marshall,run out,4,7,-,-,0,57.14
Michael Holding,c ? b Madan Lal,2,5,-,0,0,40.00
Winston Davis,not out,0,2,-,0,0,0.00
