BATSMEN,,R,B,M,4s,6s,SR
Kris Srikkanth,c Dujon b Roberts,2,9,-,0,0,22.22
Ravi Shastri,c Dujon b Roberts,6,15,-,-,-,40.00
Mohinder Amarnath,c Lloyd b Holding,80,139,-,-,-,57.55
Dilip Vengsarkar,retired hurt,32,59,-,-,-,54.24
Sandeep Patil,c & b Gomes,21,31,-,-,-,67.74
Yashpal Sharma,run out,9,10,-,-,-,90.00
Kapil Dev,c Haynes b Holding,36,46,-,-,-,78.26
Roger Binny,lbw b Holding,1,4,-,0,0,25.00
Madan Lal,not out,8,15,-,-,-,53.33
Syed Kirmani,b Marshall,0,2,-,0,0,0.00
Balwinder Sandhu,run out,0,2,-,0,0,0.00
