BATSMEN,,R,B,M,4s,6s,SR
Gautam Gambhir,c Russell b Rampaul,22,26,34,4,0,84.62
Sachin Tendulkar,c Thomas b Rampaul,2,4,4,0,0,50.00
Virat Kohli,b Rampaul,59,76,128,5,0,77.63
Yuvraj Singh,c & b Pollard,113,123,163,10,2,91.87
MS Dhoni,st Thomas b Bishoo,22,30,41,1,0,73.33
Suresh Raina,c Rampaul b Sammy,4,8,14,0,0,50.00
Yusuf Pathan,b Rampaul,11,10,16,1,0,110.00
Harbhajan Singh,c Pollard b Russell,3,6,16,0,0,50.00
Ravichandran Ashwin,not out,10,7,14,1,0,142.86
Zaheer Khan,b Rampaul,5,3,4,1,0,166.67
Munaf Patel,b Russell,1,2,1,0,0,50.00
